mc,dm
嘉新公路,023030
陈新公路,023049
千新公路,272204
康新公路,253164
绿华镇北新公路,300502
卖新公路,272008
车新公路,270087
叶新公路,272306
枫泾镇盛新公路,283408
泖新公路,270441
白新公路,303369
马陆镇嘉新公路,020758
九新公路,270004
三新公路,272927
曹新公路,023026
奉新镇奉新公路,260635
泖港镇泖新公路,271125
西渡沿浦路,262912
沿浦路,004201
金汇镇沿浦路,260727
林浦南路,031285
华浦南路,291200
南桥镇浦南路,260901
学乐路,262952
胡桥镇窑桥中心路,261004
南桥镇南虹路,262287
西渡镇南虹新村,260811
西渡镇南虹路,260809
丰庄北路,022106
庄行镇庄北路,260510
四团镇谊盛路,261562
逸政路,262914
青村镇剧场路,260897
南桥镇剧场路,261411
庙镇剧场路,300712
南桥镇新建中路,261094
泽园路,262915
青村镇振钱路,261568
青村镇振水路,261546
南桥镇振贤三支路,262374
庄行镇庄利路,261512
庄行东街,262856
庄行镇庄南路,261520
庄行镇庄技路,260516
庄行石皮弄,262860
陈行镇东风村,024737
浦江镇东风村,026089
庄行镇东风村,260247
七宝镇东风村,024705
合庆镇东风村,000726
合庆镇东风村,024227
庄行西街,262858
城河路,283242
川沙镇南城河浜路,011162
嘉定镇南城河东街,020123
嘉定镇西城河南街,020129
金山卫镇城河路,280583
菊园新区西城河北街,022318
嘉定镇南城河西街,020124
嘉定镇西城河北街,020131
航塘公路,261684
安庆东路,001492
江西北路,001803
安丘路,001494
白漾二弄,000612
百官街,001522
藏东路,008880
堡镇北长山路,300267
堡镇南长山路,300311
长山路,027925
东长治路,000720
长治路,000259
南浔路,005004
新市北路,008060
沽源支路,027935
新市南路,008058
泵站路,011104
万寿街,000176
崇明路,006602
南崇明路,004846
崇明支路,006604
春生街,004564
西体育会路,002038
青浦路,003875
邢家桥南路,002086
醴陵路,008916
永定路,001290
醴陵路,008916
大团镇永定南路,250364
永定新村,001292
大团镇永定北路,250362
永定路,001290
